N п/п из Перечня,Группа продукции,Структурный элемент или объект,Пункт/статья в ТР ТС,Пункт/раздел стандарта,Обозначение и наименование стандарта
14,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","требования химической безопасности: выделение вредных для здоровья химических веществ, пробоподготовка",пункт 2 статьи 4 ,,"МР N 29 ФЦ/1683 от 14.05.2001 ""Дополнение N 1 к ""Методическим указаниям по санитарно-гигиенической оценке резиновых и латексных изделий медицинского назначения"" (Приложение 1)"
15,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","требования химической безопасности: выделение вредных для здоровья химических веществ, пробоподготовка",пункт 2 статьи 4 ,,"""Методические указания по санитарно-гигиенической оценке резиновых и латексных изделий медицинского назначения"" от 19.12.86"
16,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","требования химической безопасности: выделение вредных для здоровья химических веществ, пробоподготовка",пункт 2 статьи 4 ,п. 3.2,"""Методические указания по санитарно-химическому исследованию детских латексных сосок и баллончиков сосок-пустышек"" от 19.10.90"
17,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","требования химической безопасности: выделение вредных для здоровья химических веществ, пробоподготовка",пункт 2 статьи 4 ,,"МУ 4077-86 ""Методические указания по санитарно-гигиеническому исследованию резин и изделий из них, предназначенных для контакта с пищевыми продуктами"" от 10.03.86"
18,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ГОСТ 33537-2015 (ISO 8288:1986) ""Качество воды. Определение содержания кобальта, никеля, меди, цинка, кадмия и свинца. Методы пламенной атомно-абсорбционной спектрометрии"""
19,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ГОСТ ISO 12846-2017 ""Качество воды. Определение содержания ртути. Метод с применением атомной абсорбционной спектрометрии (ААС) с концентрированием и без него"""
20,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ГОСТ 31870-2012 ""Вода питьевая. Определение содержания элементов методами атомной спектрометрии"""
21,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ГОСТ 31950-2012 ""Вода. Методы определения содержания общей ртути беспламенной атомно-абсорбционной спектрометрией"""
22,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ГОСТ 4152-89 ""Вода питьевая. Метод определения массовой концентрации мышьяка"""
23,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"СТБ ISO 11885-2011 ""Качество воды. Определение некоторых элементов методом атомно-эмиссионной спектрометрии с индуктивно-связанной плазмой"""
24,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"СТБ ISO 15586-2011 ""Качество воды. Обнаружение микроэлементов методом атомно-абсорбционной спектрометрии с использованием графитовой печи"""
25,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"СТ РК ИСО 8288-2005 ""Качество воды. Определение содержания кобальта, никеля, меди, цинка, кадмия и свинца. Пламенные атомно-абсорбционные спектрометрические методы"""
26,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ГОСТ Р 57162-2016 ""Вода. Определение содержания элементов методом атомно-абсорбционной спектрометрии с электротермической атомизацией"""
27,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"МВИ.МН 1792-2002 ""Методика выполнения измерений концентраций элементов в жидких пробах на спектрометре ARL 3410+"" (свидетельство об аттестации N 253/2002 от 16.09.2002)"
28,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"МВИ.МН 3057-2008 ""Методика выполнения измерений концентраций тяжелых металлов в водных матрицах методом пламенной атомно-абсорбционной спектрометрии"" (свидетельство об аттестации N 500-2008 от 22.12.2008)"
29,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ПНД Ф 14.1:2:4.139-98 (издание 2020 г.) ""Методика измерений массовых концентраций железа, кадмия, кобальта, марганца, меди, никеля, свинца, серебра, хрома и цинка в пробах питьевых, природных и сточных вод методом пламенной атомно-абсорбционной спектрометрии"" (свидетельство об аттестации 88-16207-058-RA.RU.310657-2020 от 21.12.2020, номер в реестре ФР.1.31.2021.39093)"
30,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ПНД Ф 14.1:2:4.140-98 ""Методика выполнения измерений бериллия, ванадия, висмута, кадмия, кобальта, меди, молибдена, мышьяка, никеля, олова, свинца, селена, серебра, сурьмы и хрома в питьевых, природных и сточных водах методом атомно-абсорбционной спектрометрии с электрометрической атомизацией"""
31,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ПНД Ф 14.1:2:4.140-98 (издание 2013 г.) ""Методика измерений массовых концентраций бериллия, ванадия, висмута, кадмия, кобальта, меди, молибдена, мышьяка, никеля, олова, свинца, селена, серебра, сурьмы и хрома в пробах питьевых, природных и сточных вод методом атомно-абсорбционной спектрометрии с электротермической атомизацией"" (свидетельство об аттестации N 016/01.00301-2010/2013 от 27.11.2013, номер в реестре ФР. 1.31.2013.16663)"
32,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: свинец, мышьяк, ртуть",пункт 2 статьи 4 ,,"ПНДФ 14.1:2:4.271-2012 ""Методика измерений массовой концентрации ртути в пробах природных, питьевых, минеральных, сточных вод атомно-абсорбционным методом с зеемановской коррекцией неселективного поглощения на анализаторе ртути РА-915М"" (свидетельство об аттестации N 294/242-(01.00250-2008)-2012 от 06.06.2012; номер в реестре ФР.1.31.2012.13167)"
33,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"ГОСТ Р 55227-2012 ""Вода. Методы определения содержания формальдегида"""
34,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
35,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"МУК 4.1.1265-03 ""Измерение массовой концентрации формальдегида флуориметрическим методом в пробах питьевой воды и воды поверхностных и подземных источников водопользования"""
36,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"МУК 4.1.753-99 ""Ионохроматографическое определение формальдегида в воде"""
37,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"ПНД Ф 14.2:4.187-02 ""Методика выполнения измерений массовой концентрации формальдегида в пробах природных, питьевых и сточных вод на анализаторе жидкости ""Флюорат-02"""
38,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"ПНДФ 14.1:2:4.267-2012 ""Количественный химический анализ вод. Методика измерений массовой концентрации формальдегида в пробах питьевых (в том числе расфасованных в емкости), природных и сточных вод методом высокоэффективной жидкостной хроматографии с фотометрическим детектированием с использованием жидкостного хроматографа ""Люмахром"" (свидетельство об аттестации N 222.0006/01.00258/2012 от 16.03.2012; номер в реестре ФР. 1.31.2012.12307)"
39,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: формальдегид,пункт 2 статьи 4 ,,"Сб. ""Методические указания по определению вредных веществ в объектах окружающей среды"". Вып. 1. Мн. 1993 г. (МУ N 75)"
40,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"МУК 4.1.1263-03 ""Измерение массовой концентрации фенолов общих и летучих флуориметрическим методом в пробах питьевой воды и воды поверхностных и подземных источников водопользования"""
41,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"МУК 4.1.647-96 ""Методические указания по газохроматографическому определению фенола в воде"""
42,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"МУК 4.1.752-99 ""Газохроматографическое определение фенола в воде"""
43,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"МУК 4.1.737-99 ""Хрохмато-масс-спектрометрическое определение фенолов в воде"""
44,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"РД 52.24.488-2006 ""Руководящий документ. Массовая концентрация летучих фенолов в водах. МВИ экстракционно-фотометрическим методом после отгонки паром"" (свидетельство об аттестации 143.24-2006 от 30.01.2006, номер в реестре ФР. 1.31.2007.03466)"
45,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"РД 52.24.488-2022 ""Суммарная массовая концентрация летучих фенолов в водах. Методика измерений экстрационно-фотометрическим методом с 4-аминоантипирином после отгонки с водяным паром"" (свидетельство об аттестации 488.RA.RU.311345-2022 от 15.04.2022, номер в реестре ФР. 1.31.2022.43113)"
46,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
47,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"ПНДФ 14.1:2:4.182-02 (издание 2010 г.) ""Методика измерений массовой концентрации фенолов (общих и летучих) в пробах природных, питьевых и сточных вод флуориметрическим методом на анализаторе жидкости ""Флюорат-02"""
48,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фенол,пункт 2 статьи 4 ,,"МВИ. МН 1924-2003 ""Методика газохроматографического определения фенола и эпихлоргидрина в модельных средах, имитирующих пищевые продукты"" (свидетельство об аттестации N 290/2003 от 19.08.2003)"
49,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт метиловый,пункт 2 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
50,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт метиловый,пункт 2 статьи 4 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
51,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт метиловый,пункт 2 статьи 4 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
52,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт метиловый,пункт 2 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
53,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт бутиловый,пункт 2 статьи 4 ,,"МУ 4149-86 ""Методические указания по осуществлению государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
54,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт бутиловый,пункт 2 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
55,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт бутиловый,пункт 2 статьи 4 ,,"МУК 4.1.654-96 ""Методические указания по газохроматографическому определению бутаналя, бутанола, изизобутанола, 2-этилгексаналя, 2-этилгексеналя и 2-этилгексанола в воде"""
56,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: спирт бутиловый,пункт 2 статьи 4 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного санитарного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
57,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: антиоксиданты (агидол-2), антиоксиданты",пункт 2 статьи 4 ,,"ГОСТ 34857-2022 ""Соски детские. Определение агидола-2, цимата методом высокоэффективной жидкостной хроматографии"""
58,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: антиоксиданты (агидол-2), антиоксиданты",пункт 2 статьи 4 ,,"""Методические указания по санитарно-химическому исследованию детских латексных сосок и баллончиков сосок-пустышек"" от 19.10.90"
59,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: антиоксиданты (агидол-2), антиоксиданты",пункт 2 статьи 4 ,,"МВИ.МН 5562-2016 ""Определение концентраций агидола-2, каптакса, альтакса, цимата, этилцимата, дифенилгуанидина, тиурама Д и тиурама Е в водных вытяжках из материалов. Методика выполнения измерений методом жидкостной хроматографии"" (свидетельство об аттестации N 951/2016 от 20.04.2016)"
60,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: N-нитрозоамин (извлечение хлористым метиленом); N-нитрозообразующие (извлечение искусственной слюной),пункт 2 статьи 4 ,,"ГОСТ EN 12868-2013 ""Предметы ухода за детьми. Соски детские. Методы определения нитрозоаминов и нитрозообразующих веществ"" для реализации пункта 2 статьи 4 по показателю ""выделение вредных для здоровья химических веществ: N-нитрозоамин (извлечение хлористым метиленом); N-нитрозообразующие (извлечение искусственной слюной)"""
61,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: N-нитрозоамин (извлечение хлористым метиленом); N-нитрозообразующие (извлечение искусственной слюной),пункт 2 статьи 4 ,,"""Методические указания по санитарно-химическому исследованию детских латексных сосок и баллончиков сосок-пустышек"" от 19.10.90"
62,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: цимат (диметилдитиокарбамат цинка),пункт 2 статьи 4 ,,"МУ 4077-86 ""Методические указания по санитарно-гигиеническому исследованию резин и изделий из них, предназначенных для контакта с пищевыми продуктами"" от 10.03.86"
63,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: цимат (диметилдитиокарбамат цинка),пункт 2 статьи 4 ,,"""Методические указания по санитарно-гигиенической оценке резиновых и латексных изделий медицинского назначения"" от 19.12.86"
64,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: цимат (диметилдитиокарбамат цинка),пункт 2 статьи 4 ,,"МВИ.МН 5562-2016 ""Определение концентраций агидола-2, каптакса, альтакса, цимата, этилцимата, дифенилгуанидина, тиурама Д и тиурама Е в водных вытяжках из материалов. Методика выполнения измерений методом жидкостной хроматографии"" (свидетельство об аттестации N 951/2016 от 20.04.2016)"
65,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фталевый ангидрид,пункт 2 статьи 4 ,,"ГОСТ 24445.1-80 ""Ангидрид фталевый технический. Метод определения фталевого ангидрида"""
66,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров",выделение вредных для здоровья химических веществ: фталевый ангидрид,пункт 2 статьи 4 ,,"Инструкция N 880-71 ""Инструкция по санитарно-химическому исследованию изделий, изготовленных из полимерных и других синтетических материалов, предназначенных для контакта с пищевыми продуктами"""
67,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: ускорители вулканизации: класса тиазола, класса тиурама",пункт 2 статьи 4 ,,Методические указания по санитарно-гигиенической оценке резиновых и латексных изделий медицинского назначения от 19.12.86
68,"Соски молочные, соски-пустышки и изделия санитарно-гигиенические из латекса, резины и силиконовых эластомеров","выделение вредных для здоровья химических веществ: ускорители вулканизации: класса тиазола, класса тиурама",пункт 2 статьи 4 ,,"МВИ.МН 5562-2016 ""Определение концентраций агидола-2, каптакса, альтакса, цимата, этилцимата, дифенилгуанидина, тиурама Д и тиурама Е в водных вытяжках из материалов. Методика выполнения измерений методом жидкостной хроматографии"" (свидетельство об аттестации N 951/2016 от 20.04.2016)"
